,Age,Cabin,Embarked,Fare,Nationality,Parch,Pclass,Sex,SibSp,Survived
33,66.0,X,S,10.5,England,0,2,male,0,0.0
34,28.0,X,C,82.1708,Other,0,1,male,1,0.0
35,42.0,X,S,52.0,United States,0,1,male,1,0.0
36,27.4104641612,X,C,7.2292,United States,0,3,male,0,1.0
37,21.0,X,S,8.05,Other,0,3,male,0,0.0
38,18.0,X,S,18.0,Other,0,3,female,2,0.0
39,14.0,X,C,11.2417,Other,0,3,female,1,1.0
40,40.0,X,S,9.475,Sweden,0,3,female,1,0.0
41,27.0,X,S,21.0,United States,0,2,female,1,0.0
42,27.4642049392,X,C,7.8958,United States,0,3,male,0,0.0
43,3.0,X,C,41.5792,Other,2,2,female,1,1.0
44,19.0,X,Q,7.8792,United States,0,3,female,0,1.0
45,27.9225751845,X,S,8.05,United States,0,3,male,0,0.0
46,25.2683568281,X,Q,15.5,United States,0,3,male,1,0.0
47,25.5904259717,X,Q,7.75,Other,0,3,female,0,1.0
48,22.3877697287,X,C,21.6792,Other,0,3,male,2,0.0
49,18.0,X,S,17.8,United States,0,3,female,1,0.0
50,7.0,X,S,39.6875,Finland,1,3,male,4,0.0
51,21.0,X,S,7.8,Other,0,3,male,0,0.0
52,49.0,D,C,76.7292,United States,0,1,female,1,1.0
53,29.0,X,S,26.0,England,0,2,female,1,1.0
54,65.0,B,C,61.9792,United States,1,1,male,0,0.0
55,41.9831802136,C,S,35.5,England,0,1,male,0,1.0
56,21.0,X,S,10.5,United States,0,2,female,0,1.0
57,28.5,X,C,7.2292,Other,0,3,male,0,0.0
58,5.0,X,S,27.75,United States,2,2,female,1,1.0
59,11.0,X,S,46.9,United States,2,3,male,5,0.0
60,22.0,X,C,7.2292,United States,0,3,male,0,0.0
61,38.0,B,X,80.0,Other,0,1,female,0,1.0
62,45.0,C,S,83.475,United States,0,1,male,1,0.0
63,4.0,X,S,27.9,Sweden,2,3,male,3,0.0
64,41.8358928966,X,C,27.7208,United States,0,1,male,0,0.0
65,18.5362326852,X,C,15.2458,Other,1,3,male,1,1.0
66,29.0,F,S,10.5,United States,0,2,female,0,1.0
67,19.0,X,S,8.1583,England,0,3,male,0,0.0
68,17.0,X,S,7.925,Sweden,2,3,female,4,1.0
69,26.0,X,S,8.6625,Other,0,3,male,2,0.0
70,32.0,X,S,10.5,Other,0,2,male,0,0.0
71,16.0,X,S,46.9,United States,2,3,female,5,0.0
72,21.0,X,S,73.5,United States,0,2,male,0,0.0
73,26.0,X,C,14.4542,Other,0,3,male,1,0.0
74,32.0,X,S,56.4958,Other,0,3,male,0,1.0
75,25.0,F,S,7.65,Other,0,3,male,0,0.0
76,27.5925227124,X,S,7.8958,Other,0,3,male,0,0.0
77,27.6014542941,X,S,8.05,Other,0,3,male,0,0.0
78,0.83,X,S,29.0,United States,2,2,male,0,1.0
79,30.0,X,S,12.475,United States,0,3,female,0,1.0
80,22.0,X,S,9.0,United States,0,3,male,0,0.0
81,29.0,X,S,9.5,Other,0,3,male,0,1.0
82,25.9141205231,X,Q,7.7875,United States,0,3,female,0,1.0
83,28.0,X,S,47.1,Other,0,1,male,0,0.0
84,17.0,X,S,10.5,England,0,2,female,0,1.0
85,33.0,X,S,15.85,Sweden,0,3,female,3,1.0
86,16.0,X,S,34.375,United States,3,3,male,1,0.0
87,27.6014542941,X,S,8.05,Other,0,3,male,0,0.0
88,23.0,C,S,263.0,Other,2,1,female,3,1.0
89,24.0,X,S,8.05,Other,0,3,male,0,0.0
90,29.0,X,S,8.05,Other,0,3,male,0,0.0
91,20.0,X,S,7.8542,Sweden,0,3,male,0,0.0
92,46.0,E,S,61.175,United States,0,1,male,1,0.0
93,26.0,X,S,20.575,United States,2,3,male,1,0.0
94,59.0,X,S,7.25,England,0,3,male,0,0.0
95,27.2803334038,X,S,8.05,England,0,3,male,0,0.0
96,71.0,A,C,34.6542,Other,0,1,male,0,0.0
97,23.0,D,C,63.3583,United States,1,1,male,0,1.0
98,34.0,X,S,23.0,United States,1,2,female,0,1.0
99,34.0,X,S,26.0,United States,0,2,male,1,0.0
100,28.0,X,S,7.8958,United States,0,3,female,0,0.0
101,27.9136436027,X,S,7.8958,United States,0,3,male,0,0.0
102,21.0,D,S,77.2875,United States,1,1,male,0,0.0
103,33.0,X,S,8.6542,Sweden,0,3,male,0,0.0
104,37.0,X,S,7.925,Sweden,0,3,male,2,0.0
105,28.0,X,S,7.8958,United States,0,3,male,0,0.0
106,21.0,X,S,7.65,Other,0,3,female,0,1.0
107,27.9057846299,X,S,7.775,United States,0,3,male,0,1.0
108,38.0,X,S,7.8958,Other,0,3,male,0,0.0
109,22.7182752066,X,Q,24.15,United States,0,3,female,1,1.0
110,47.0,C,S,52.0,United States,0,1,male,0,0.0
111,14.5,X,C,14.4542,Other,0,3,female,1,0.0
112,22.0,X,S,8.05,United States,0,3,male,0,0.0
113,20.0,X,S,9.825,Finland,0,3,female,1,0.0
114,17.0,X,C,14.4583,Other,0,3,female,0,0.0
115,21.0,X,S,7.925,Other,0,3,male,0,0.0
116,70.5,X,Q,7.75,United States,0,3,male,0,0.0
117,29.0,X,S,21.0,United States,0,2,male,1,0.0
118,24.0,B,C,247.5208,United States,1,1,male,0,0.0
119,2.0,X,S,31.275,Sweden,2,3,female,4,0.0
120,21.0,X,S,73.5,United States,0,2,male,2,0.0
121,27.9225751845,X,S,8.05,United States,0,3,male,0,0.0
122,32.5,X,C,30.0708,Other,0,2,male,1,0.0
123,32.5,E,S,13.0,United States,0,2,female,0,1.0
124,54.0,D,S,77.2875,United States,1,1,male,0,0.0
125,12.0,X,C,11.2417,Other,0,3,male,1,1.0
126,27.6793410347,X,Q,7.75,United States,0,3,male,0,0.0
127,24.0,X,S,7.1417,Other,0,3,male,0,1.0
128,17.2021748993,F,C,22.3583,Other,1,3,female,1,1.0
129,45.0,X,S,6.975,Sweden,0,3,male,0,0.0
130,33.0,X,C,7.8958,Other,0,3,male,0,0.0
131,20.0,X,S,7.05,Other,0,3,male,0,0.0
132,47.0,X,S,14.5,United States,0,3,female,1,0.0
133,29.0,X,S,26.0,United States,0,2,female,1,1.0
134,25.0,X,S,13.0,Other,0,2,male,0,0.0
135,23.0,X,C,15.0458,Other,0,2,male,0,0.0
136,19.0,D,S,26.2833,United States,2,1,female,0,1.0
137,37.0,C,S,53.1,United States,0,1,male,1,0.0
138,16.0,X,S,9.2167,Other,0,3,male,0,0.0
139,24.0,B,C,79.2,Other,0,1,male,0,0.0
140,19.6274690706,X,C,15.2458,Other,2,3,female,0,0.0
141,22.0,X,S,7.75,Finland,0,3,female,0,1.0
142,24.0,X,S,15.85,Finland,0,3,female,1,1.0
143,19.0,X,Q,6.75,United States,0,3,male,0,0.0
144,18.0,X,S,11.5,Other,0,2,male,0,0.0
145,19.0,X,S,36.75,England,1,2,male,1,0.0
146,27.0,X,S,7.7958,Sweden,0,3,male,0,1.0
147,9.0,X,S,34.375,United States,2,3,female,2,0.0
148,36.5,F,S,26.0,Other,2,2,male,0,0.0
149,42.0,X,S,13.0,England,0,2,male,0,0.0
150,51.0,X,S,12.525,United States,0,2,male,0,0.0
151,22.0,C,S,66.6,England,0,1,female,1,1.0
152,55.5,X,S,8.05,Other,0,3,male,0,0.0
153,40.5,X,S,14.5,United States,2,3,male,0,0.0
154,27.8680792335,X,S,7.3125,United States,0,3,male,0,0.0
155,51.0,X,C,61.3792,United States,1,1,male,0,0.0
156,16.0,X,Q,7.7333,Other,0,3,female,0,1.0
157,30.0,X,S,8.05,United States,0,3,male,0,0.0
158,27.6146142093,X,S,8.6625,Other,0,3,male,0,0.0
159,8.71374995055,X,S,69.55,United States,2,3,male,8,0.0
160,44.0,X,S,16.1,United States,1,3,male,0,0.0
161,40.0,X,S,15.75,United States,0,2,female,0,1.0
162,26.0,X,S,7.775,Sweden,0,3,male,0,0.0
163,17.0,X,S,8.6625,Other,0,3,male,0,0.0
164,1.0,X,S,39.6875,Finland,1,3,male,4,0.0
165,9.0,X,S,20.525,United States,2,3,male,0,1.0
166,35.5936170037,E,S,55.0,Other,1,1,female,0,1.0
167,45.0,X,S,27.9,Sweden,4,3,female,1,0.0
168,42.0012137344,X,S,25.925,Other,0,1,male,0,0.0
169,28.0,X,S,56.4958,Other,0,3,male,0,0.0
170,61.0,B,S,33.5,Other,0,1,male,0,0.0
171,4.0,X,Q,29.125,United States,1,3,male,4,0.0
172,1.0,X,S,11.1333,United States,1,3,female,1,1.0
173,21.0,X,S,7.925,Finland,0,3,male,0,0.0
174,56.0,A,C,30.6958,United States,0,1,male,0,0.0
175,18.0,X,S,7.8542,Other,1,3,male,1,0.0
176,15.0069219055,X,S,25.4667,United States,1,3,male,3,0.0
177,50.0,C,C,28.7125,United States,0,1,female,0,0.0
178,30.0,X,S,13.0,United States,0,2,male,0,0.0
179,9.72843978886,X,S,69.55,United States,2,3,female,8,0.0
180,32.6638354104,X,C,15.05,Other,0,2,male,0,0.0
181,9.0,X,S,31.3875,Sweden,2,3,male,4,0.0
182,1.0,F,S,39.0,Other,1,2,male,2,1.0
183,4.0,X,S,22.025,Other,2,3,female,0,1.0
184,42.0903860782,A,S,50.0,United States,0,1,male,0,0.0
185,23.6808045347,X,Q,15.5,United States,0,3,female,1,1.0
186,45.0,X,S,26.55,United States,0,1,male,0,1.0
187,40.0,X,Q,15.5,Other,1,3,male,1,0.0
188,36.0,X,S,7.8958,Other,0,3,male,0,0.0
189,32.0,X,S,13.0,United States,0,2,female,0,1.0
190,19.0,X,S,13.0,Other,0,2,male,0,0.0
191,19.0,X,S,7.8542,Other,0,3,female,1,1.0
192,3.0,F,S,26.0,Other,1,2,male,1,1.0
193,44.0,B,C,27.7208,United States,0,1,female,0,1.0
194,58.0,B,C,146.5208,Other,0,1,female,0,1.0
195,27.3582201443,X,Q,7.75,Other,0,3,male,0,0.0
196,42.0,X,S,8.4042,United States,1,3,male,0,0.0
197,25.911546862,X,Q,7.75,United States,0,3,female,0,1.0
198,24.0,X,S,13.0,Other,0,2,female,0,0.0
199,28.0,X,S,9.5,Other,0,3,male,0,0.0
200,8.71374995055,X,S,69.55,United States,2,3,male,8,0.0
201,34.0,X,S,6.4958,United States,0,3,male,0,0.0
202,45.5,X,C,7.225,Other,0,3,male,0,0.0
203,18.0,X,S,8.05,Other,0,3,male,0,1.0
204,2.0,G,S,10.4625,United States,1,3,female,0,0.0
205,32.0,X,S,15.85,Sweden,0,3,male,1,0.0
206,26.0,X,C,18.7875,Other,0,3,male,0,1.0
207,16.0,X,Q,7.75,United States,0,3,female,0,1.0
208,40.0,A,C,31.0,Other,0,1,male,0,1.0
209,24.0,X,S,7.05,Other,0,3,male,0,0.0
210,35.0,X,S,21.0,United States,0,2,female,0,1.0
211,22.0,X,S,7.25,England,0,3,male,0,0.0
212,30.0,X,S,13.0,Other,0,2,male,0,0.0
213,25.7611022629,X,Q,7.75,United States,0,3,male,1,0.0
214,31.0,D,C,113.275,United States,0,1,female,1,1.0
215,27.0,X,S,7.925,Finland,0,3,female,0,1.0
216,42.0,X,S,27.0,Other,0,2,male,1,0.0
217,32.0,D,C,76.2917,Other,0,1,female,0,1.0
218,30.0,X,S,10.5,United States,0,2,male,0,0.0
219,16.0,X,S,8.05,United States,0,3,male,0,1.0
220,27.0,X,S,13.0,United States,0,2,male,0,0.0
221,51.0,X,S,8.05,United States,0,3,male,0,0.0
222,27.5925227124,X,S,7.8958,Other,0,3,male,0,0.0
223,38.0,C,S,90.0,United States,0,1,male,1,1.0
224,22.0,X,S,9.35,Sweden,0,3,male,0,0.0
225,19.0,X,S,10.5,England,0,2,male,0,1.0
226,20.5,X,S,7.25,United States,0,3,male,0,0.0
227,18.0,X,S,13.0,Sweden,0,2,male,0,0.0
228,14.410699948,X,S,25.4667,United States,1,3,female,3,0.0
229,35.0,C,S,83.475,United States,0,1,female,1,1.0
230,29.0,X,S,7.775,Sweden,0,3,male,0,0.0
231,59.0,X,S,13.5,Sweden,0,2,male,0,0.0
232,5.0,X,S,31.3875,Sweden,2,3,female,4,1.0
233,24.0,X,S,10.5,Other,0,2,male,0,0.0
234,25.4789742197,X,S,7.55,England,0,3,female,0,0.0
235,44.0,X,S,26.0,Other,0,2,male,1,0.0
236,8.0,X,S,26.25,England,2,2,female,0,1.0
237,19.0,X,S,10.5,England,0,2,male,0,0.0
238,33.0,X,S,12.275,United States,0,2,male,0,0.0
239,23.2672379935,X,C,14.4542,Other,0,3,female,1,0.0
240,23.6808045347,X,Q,15.5,United States,0,3,female,1,1.0
241,29.0,X,S,10.5,England,0,2,male,0,0.0
242,22.0,X,S,7.125,Finland,0,3,male,0,0.0
243,30.0,X,C,7.225,Other,0,3,male,0,0.0
244,44.0,C,Q,90.0,United States,0,1,male,2,0.0
245,25.0,X,S,7.775,Sweden,0,3,female,0,0.0
246,24.0,X,S,14.5,Finland,2,2,female,0,1.0
247,37.0,D,S,52.5542,United States,1,1,male,1,1.0
248,54.0,X,S,26.0,United States,0,2,male,1,0.0
249,27.8619865301,X,S,7.25,United States,0,3,male,0,0.0
250,29.0,G,S,10.4625,United States,1,3,female,1,0.0
251,62.0,C,S,26.55,England,0,1,male,0,0.0
252,30.0,X,S,16.1,United States,0,3,male,1,0.0
253,41.0,X,S,20.2125,Sweden,2,3,female,0,0.0
254,29.0,X,C,15.2458,Other,2,3,female,0,1.0
255,37.7176020155,X,C,79.2,United States,0,1,female,0,1.0
256,30.0,B,S,86.5,United States,0,1,female,0,1.0
257,35.0,X,C,512.3292,United States,0,1,female,0,1.0
258,50.0,X,S,26.0,United States,1,2,female,0,1.0
259,27.6793410347,X,Q,7.75,United States,0,3,male,0,0.0
260,3.0,X,S,31.3875,Sweden,2,3,male,4,1.0
261,52.0,E,S,79.65,United States,1,1,male,1,0.0
262,25.911546862,X,Q,7.75,United States,0,3,female,0,0.0
263,36.0,X,S,10.5,United States,0,2,male,0,0.0
264,16.0,X,S,39.6875,Finland,1,3,male,4,0.0
265,25.0,X,S,7.775,Sweden,0,3,male,1,1.0
266,58.0,C,S,153.4625,United States,1,1,female,0,1.0
267,35.0,C,S,135.6333,United States,0,1,female,0,1.0
268,41.5392205893,X,S,31.0,England,0,1,male,0,0.0
269,41.0,X,S,19.5,United States,1,2,female,0,1.0
270,37.0,C,C,29.7,United States,1,1,male,0,0.0
271,25.911546862,X,Q,7.75,United States,0,3,female,0,1.0
272,63.0,D,S,77.9583,United States,0,1,female,1,1.0
273,45.0,X,S,7.75,Sweden,0,3,female,0,0.0
274,7.0,X,Q,29.125,United States,1,3,male,4,0.0
275,35.0,X,S,20.25,United States,1,3,female,1,1.0
276,65.0,X,Q,7.75,United States,0,3,male,0,0.0
277,28.0,X,S,7.8542,Sweden,0,3,male,0,0.0
278,16.0,X,S,9.5,Other,0,3,male,0,0.0
279,19.0,X,S,8.05,England,0,3,male,0,1.0
280,43.1824021993,A,S,26.0,United States,0,1,male,0,0.0
281,33.0,X,C,8.6625,Other,0,3,male,0,0.0
282,30.0,X,S,9.5,Other,0,3,male,0,1.0
283,22.0,X,S,7.8958,Other,0,3,male,0,0.0
284,42.0,X,S,13.0,Other,0,2,male,0,1.0
285,22.0,X,Q,7.75,United States,0,3,female,0,1.0
286,26.0,X,S,78.85,United States,0,1,female,0,1.0
287,19.0,B,C,91.0792,United States,0,1,female,1,1.0
288,36.0,D,C,12.875,Other,0,2,male,0,0.0
289,24.0,X,S,8.85,Other,0,3,female,0,0.0
290,24.0,X,S,7.8958,United States,0,3,male,0,0.0
291,41.5147720063,X,C,27.7208,Other,0,1,male,0,0.0
292,23.5,X,C,7.2292,Other,0,3,male,0,0.0
293,2.0,C,S,151.55,United States,2,1,female,1,0.0
294,42.5265177778,C,S,30.5,Other,0,1,male,0,1.0
295,50.0,B,C,247.5208,United States,1,1,female,0,1.0
296,25.911546862,X,Q,7.75,United States,0,3,female,0,1.0
297,22.7365860939,X,Q,23.25,United States,0,3,male,2,1.0
298,31.6464398283,E,Q,12.35,United States,0,2,female,0,1.0
299,27.9225751845,X,S,8.05,United States,0,3,male,0,0.0
300,0.92,C,S,151.55,United States,2,1,male,1,1.0
301,37.0693961043,X,C,110.8833,United States,0,1,female,0,1.0
302,17.0,C,C,108.9,Other,0,1,female,1,1.0
303,30.0,X,C,24.0,United States,0,2,male,1,0.0
304,30.0,E,C,56.9292,Other,0,1,female,0,1.0
305,24.0,C,C,83.1583,United States,0,1,female,0,1.0
306,18.0,B,C,262.375,United States,2,1,female,2,1.0
307,26.0,X,S,26.0,Finland,1,2,female,1,0.0
308,28.0,X,S,7.8958,Other,0,3,male,0,0.0
309,43.0,X,S,26.25,United States,1,2,male,1,0.0
310,26.0,X,S,7.8542,Sweden,0,3,female,0,1.0
311,24.0,X,S,26.0,United States,0,2,female,1,1.0
312,54.0,X,S,14.0,Other,0,2,male,0,0.0
313,31.0,C,S,164.8667,United States,2,1,female,0,1.0
314,40.0,E,C,134.5,United States,1,1,female,1,1.0
315,22.0,X,S,7.25,United States,0,3,male,0,0.0
316,27.0,X,S,7.8958,United States,0,3,male,0,0.0
317,30.0,X,Q,12.35,United States,0,2,female,0,1.0
318,22.0,X,S,29.0,United States,1,2,female,1,1.0
319,8.71374995055,X,S,69.55,United States,2,3,male,8,0.0
320,36.0,C,C,135.6333,United States,0,1,female,0,1.0
321,61.0,X,S,6.2375,Other,0,3,male,0,0.0
322,36.0,D,S,13.0,United States,0,2,female,0,1.0
323,31.0,X,S,20.525,United States,1,3,female,1,1.0
324,16.0,B,C,57.9792,Other,1,1,female,0,1.0
325,21.3405407972,X,Q,23.25,United States,0,3,female,2,1.0
326,45.5,C,S,28.5,Other,0,1,male,0,0.0
327,38.0,C,S,153.4625,United States,1,1,male,0,0.0
328,16.0,X,S,18.0,Other,0,3,male,2,0.0
329,36.230867837,X,S,133.65,United States,0,1,female,1,1.0
330,27.5925227124,X,S,7.8958,Other,0,3,male,0,0.0
331,29.0,C,S,66.6,England,0,1,male,1,0.0
332,41.0,E,C,134.5,United States,0,1,female,0,1.0
333,45.0,X,S,8.05,United States,0,3,male,0,1.0
334,45.0,T,S,35.5,United States,0,1,male,0,0.0
335,2.0,F,S,26.0,Other,1,2,male,1,1.0
336,24.0,C,S,263.0,Other,2,1,female,3,1.0
337,28.0,X,S,13.0,Sweden,0,2,male,0,0.0
338,25.0,X,S,13.0,England,0,2,male,0,0.0
339,36.0,X,S,13.0,United States,0,2,male,0,0.0
340,24.0,F,S,13.0,United States,0,2,female,0,1.0
341,40.0,X,S,13.0,United States,0,2,female,0,1.0
342,23.8420008526,X,S,16.1,United States,0,3,female,1,1.0
343,3.0,X,S,15.9,Other,1,3,male,1,1.0
344,42.0,X,S,8.6625,Other,0,3,male,0,0.0
345,23.0,X,S,9.225,United States,0,3,male,0,0.0
346,42.6411968746,C,S,35.0,United States,0,1,male,0,0.0
347,15.0,X,C,7.2292,Other,1,3,male,1,0.0
348,25.0,X,S,17.8,United States,0,3,male,1,0.0
349,27.0889190909,X,C,7.225,Other,0,3,male,0,0.0
350,28.0,X,S,9.5,Other,0,3,male,0,0.0
351,22.0,E,S,55.0,United States,1,1,female,0,1.0
352,38.0,X,S,13.0,United States,0,2,female,0,0.0
353,25.9200958871,X,Q,7.8792,United States,0,3,female,0,1.0
354,25.9200958871,X,Q,7.8792,United States,0,3,female,0,1.0
355,40.0,X,S,27.9,Sweden,4,3,male,1,0.0
356,29.0,X,C,27.7208,Other,0,2,male,1,0.0
357,45.0,X,C,14.4542,Other,1,3,female,0,0.0
358,35.0,X,S,7.05,Other,0,3,male,0,0.0
359,25.2683568281,X,Q,15.5,United States,0,3,male,1,0.0
360,30.0,X,S,7.25,Sweden,0,3,male,0,0.0
361,60.0,D,C,75.25,United States,0,1,female,1,1.0
362,25.3328142156,X,C,7.2292,Other,0,3,female,0,1.0
363,25.911546862,X,Q,7.75,United States,0,3,female,0,1.0
364,24.0,B,C,69.3,United States,0,1,female,0,1.0
365,25.0,E,C,55.4417,Other,0,1,male,1,1.0
366,18.0,X,S,6.4958,Sweden,0,3,male,1,0.0
367,19.0,X,S,8.05,England,0,3,male,0,0.0
368,22.0,X,C,135.6333,Other,0,1,male,0,0.0
369,3.0,X,S,21.075,Sweden,1,3,female,3,0.0
370,36.8426120765,X,C,82.1708,Other,0,1,female,1,1.0
371,22.0,X,S,7.25,Sweden,0,3,female,0,1.0
372,27.0,C,C,211.5,United States,2,1,male,0,0.0
373,20.0,X,C,4.0125,United States,0,3,male,0,0.0
374,19.0,X,S,7.775,Sweden,0,3,male,0,0.0
375,42.0,X,C,227.525,Other,0,1,female,0,1.0
376,1.0,X,C,15.7417,Other,2,3,female,0,1.0
377,32.0,X,S,7.925,Finland,0,3,male,0,0.0
378,35.0,X,S,52.0,United States,0,1,female,1,1.0
379,27.5925227124,X,S,7.8958,Other,0,3,male,0,0.0
380,18.0,X,S,73.5,England,0,2,male,0,0.0
381,1.0,X,S,46.9,United States,2,3,male,5,0.0
382,36.0,X,S,13.0,United States,0,2,female,0,1.0
383,27.6778803964,X,Q,7.7292,United States,0,3,male,0,0.0
384,17.0,X,C,12.0,Other,0,2,female,0,1.0
385,36.0,B,S,120.0,United States,2,1,male,1,1.0
386,21.0,X,S,7.7958,Sweden,0,3,male,0,1.0
387,28.0,X,S,7.925,Sweden,0,3,male,2,0.0
388,23.0,D,C,113.275,United States,0,1,female,1,1.0
389,24.0,G,S,16.7,Sweden,2,3,female,0,1.0
390,22.0,X,S,7.7958,Sweden,0,3,male,0,0.0
391,31.0,X,S,7.8542,Sweden,0,3,female,0,0.0
392,46.0,X,S,26.0,United States,0,2,male,0,0.0
393,23.0,X,S,10.5,Other,0,2,male,0,0.0
394,28.0,X,S,12.65,United States,0,2,female,0,1.0
395,39.0,X,S,7.925,Finland,0,3,male,0,1.0
396,26.0,X,S,8.05,United States,0,3,male,0,0.0
397,21.0,X,S,9.825,Finland,0,3,female,1,0.0
398,28.0,X,S,15.85,Finland,0,3,male,1,0.0
399,20.0,X,S,8.6625,Other,0,3,female,0,0.0
400,34.0,X,S,21.0,United States,0,2,male,1,0.0
401,51.0,X,S,7.75,Sweden,0,3,male,0,0.0
402,3.0,X,S,18.75,United States,1,2,male,1,1.0
403,21.0,X,S,7.775,Other,0,3,male,0,0.0
404,14.410699948,X,S,25.4667,United States,1,3,female,3,0.0
405,27.5925227124,X,S,7.8958,Other,0,3,male,0,0.0
406,27.5930677976,X,Q,6.8583,United States,0,3,male,0,0.0
407,33.0,C,Q,90.0,United States,0,1,female,1,1.0
408,44.0,X,S,7.925,Sweden,0,3,male,0,1.0
409,26.1547810118,X,S,8.05,United States,0,3,female,0,0.0
410,34.0,X,S,32.5,United States,1,2,female,1,1.0
411,18.0,X,S,13.0,Other,2,2,female,0,1.0
412,30.0,X,S,13.0,United States,0,2,male,0,0.0
413,10.0,X,S,24.15,Other,2,3,female,0,0.0
414,27.1430840488,X,C,7.8958,Other,0,3,male,0,0.0
415,21.0,X,Q,7.7333,England,0,3,male,0,0.0
416,29.0,X,S,7.875,United States,0,3,male,0,0.0
417,28.0,X,S,14.4,United States,1,3,female,1,0.0
418,18.0,X,S,20.2125,Sweden,1,3,male,1,0.0
419,27.8619865301,X,S,7.25,United States,0,3,male,0,0.0
420,28.0,X,S,26.0,England,0,2,female,1,1.0
421,19.0,X,S,26.0,United States,0,2,female,0,1.0
422,27.6793410347,X,Q,7.75,United States,0,3,male,0,0.0
423,32.0,E,S,8.05,United States,0,3,male,0,1.0
424,28.0,C,S,26.55,Sweden,0,1,male,0,1.0
425,23.1997590719,X,S,16.1,England,0,3,female,1,1.0
426,42.0,X,S,26.0,England,0,2,female,1,1.0
427,17.0,X,S,7.125,Finland,0,3,male,0,0.0
428,50.0,E,S,55.9,United States,0,1,male,1,0.0
429,14.0,B,S,120.0,United States,2,1,female,1,1.0
430,21.0,X,S,34.375,United States,2,3,female,2,0.0
431,24.0,X,S,18.75,United States,3,2,female,2,1.0
432,64.0,C,S,263.0,Other,4,1,male,1,0.0
433,31.0,X,S,10.5,Other,0,2,male,0,0.0
434,45.0,X,S,26.25,United States,1,2,female,1,1.0
435,20.0,X,S,9.5,Other,0,3,male,0,0.0
436,25.0,X,S,7.775,United States,0,3,male,1,0.0
437,28.0,X,S,13.0,Other,0,2,female,0,1.0
438,27.60473607,X,S,8.1125,Other,0,3,male,0,1.0
439,4.0,A,S,81.8583,United States,2,1,male,0,1.0
440,13.0,X,S,19.5,United States,1,2,female,0,1.0
441,34.0,X,S,26.55,United States,0,1,male,0,1.0
442,5.0,X,C,19.2583,Other,1,3,female,2,1.0
443,52.0,C,S,30.5,Other,0,1,male,0,1.0
444,36.0,X,S,27.75,United States,2,2,male,1,0.0
445,24.6533786729,X,S,19.9667,Other,0,3,male,1,0.0
446,30.0,C,C,27.75,United States,0,1,male,0,0.0
447,49.0,C,C,89.1042,Other,0,1,male,1,1.0
448,27.6014542941,X,S,8.05,Other,0,3,male,0,0.0
449,29.0,X,C,7.8958,Other,0,3,male,0,1.0
450,65.0,E,S,26.55,Other,0,1,male,0,0.0
451,39.5904663311,D,S,51.8625,United States,0,1,female,1,1.0
452,50.0,X,S,10.5,United States,0,2,female,0,1.0
453,27.6793410347,X,Q,7.75,United States,0,3,male,0,0.0
454,48.0,E,S,26.55,United States,0,1,male,0,1.0
455,34.0,X,S,8.05,England,0,3,male,0,0.0
456,47.0,E,S,38.5,Other,0,1,male,0,0.0
457,48.0,X,S,13.0,United States,0,2,male,0,0.0
458,27.6014542941,X,S,8.05,Other,0,3,male,0,0.0
459,38.0,X,S,7.05,Other,0,3,male,0,0.0
460,56.0,X,S,26.55,Other,0,1,male,0,0.0
